time,ecg
1710814954742,26
1710814954750,36
1710814954758,51
1710814954765,61
1710814954773,63
1710814954781,71
1710814954788,68
1710814954796,56
1710814954804,53
1710814954811,66
1710814954819,71
1710814954827,76
1710814954835,95
1710814954841,103
1710814954849,85
1710814954857,56
1710814954865,49
1710814954873,56
1710814954881,51
1710814954888,46
1710814954896,56
1710814954904,61
1710814954911,61
1710814954919,76
1710814954927,144
1710814954934,348
1710814954942,657
1710814954950,782
1710814954957,414
1710814954965,-225
1710814954973,-407
1710814954980,-115
1710814954988,9
1710814954996,-26
1710814955003,41
1710814955011,83
1710814955019,58
1710814955025,76
1710814955033,105
1710814955041,98
1710814955049,100
1710814955057,122
1710814955065,132
1710814955072,130
1710814955080,130
1710814955088,137
1710814955095,144
1710814955103,159
1710814955111,179
1710814955119,188
1710814955126,196
1710814955134,211
1710814955142,223
1710814955149,230
1710814955157,240
1710814955165,250
1710814955172,255
1710814955180,252
1710814955188,242
1710814955195,228
1710814955203,215
1710814955211,196
1710814955217,164
1710814955225,137
1710814955233,122
1710814955241,93
1710814955249,58
1710814955257,49
1710814955264,44
1710814955272,34
1710814955280,31
1710814955287,34
1710814955295,39
1710814955303,31
1710814955310,34
1710814955318,51
1710814955326,56
1710814955333,53
1710814955341,53
1710814955349,61
1710814955356,68
1710814955364,66
1710814955372,63
1710814955379,85
1710814955387,93
1710814955395,71
1710814955401,61
1710814955409,88
1710814955417,100
1710814955425,76
1710814955433,66
1710814955441,93
1710814955449,95
1710814955456,71
1710814955464,83
1710814955472,100
1710814955479,88
1710814955487,85
1710814955495,103
1710814955502,110
1710814955510,115
1710814955518,127
1710814955525,103
1710814955533,53
1710814955541,44
1710814955548,61
1710814955556,61
1710814955564,51
1710814955571,39
1710814955579,29
1710814955587,39
1710814955593,100
1710814955601,274
1710814955609,554
1710814955617,706
1710814955625,436
1710814955633,-152
1710814955640,-417
1710814955648,-166
1710814955656,-4
1710814955663,-61
1710814955671,-22
1710814955679,39
1710814955686,17
1710814955694,19
1710814955702,46
1710814955709,49
1710814955717,49
1710814955725,51
1710814955733,56
1710814955740,58
1710814955748,46
1710814955756,49
1710814955763,73
1710814955771,83
1710814955779,73
1710814955785,83
1710814955793,110
1710814955801,122
1710814955809,125
1710814955817,142
1710814955825,157
1710814955832,159
1710814955840,164
1710814955848,181
1710814955855,184
1710814955863,164
1710814955871,142
1710814955878,122
1710814955886,83
1710814955894,53
1710814955901,41
1710814955909,17
1710814955917,-2
1710814955924,-4
1710814955932,-14
1710814955940,-24
1710814955947,-14
1710814955955,-7
1710814955963,-12
1710814955969,-14
1710814955977,-2
1710814955985,22
1710814955993,31
1710814956001,46
1710814956009,80
1710814956017,98
1710814956024,90
1710814956032,103
1710814956040,125
1710814956047,125
1710814956055,115
1710814956063,115
1710814956070,117
1710814956078,117
1710814956086,120
1710814956093,115
1710814956101,107
1710814956109,100
1710814956116,85
1710814956124,76
1710814956132,80
1710814956139,85
1710814956147,85
1710814956155,93
1710814956161,98
1710814956169,98
1710814956177,103
1710814956185,112
1710814956193,122
1710814956201,125
1710814956208,112
1710814956216,93
1710814956224,83
1710814956231,83
1710814956239,80
1710814956247,80
1710814956254,76
1710814956262,61
1710814956270,56
1710814956277,103
1710814956285,235
1710814956293,480
1710814956300,721
1710814956308,635
1710814956316,80
1710814956324,-404
1710814956331,-287
1710814956339,-19
1710814956347,-26
1710814956353,-12
