time,ppg
1710814973898,1620539
1710814973938,1620449
1710814973978,1620616
1710814974019,1620665
1710814974058,1620844
1710814974099,1621463
1710814974139,1622102
1710814974182,1621886
1710814974220,1619165
1710814974259,1615373
1710814974299,1612371
1710814974340,1610163
1710814974380,1612407
1710814974421,1617637
1710814974460,1623342
1710814974500,1622853
1710814974541,1620683
1710814974581,1619540
1710814974622,1619392
1710814974661,1620050
1710814974701,1620551
1710814974742,1621056
1710814974782,1621986
1710814974823,1623311
1710814974862,1624346
1710814974902,1623357
1710814974943,1622080
1710814974983,1621558
1710814975024,1622754
1710814975063,1622941
1710814975104,1622953
1710814975144,1622660
1710814975184,1621711
1710814975225,1620533
1710814975265,1619538
1710814975306,1618900
1710814975346,1618695
1710814975386,1619296
1710814975427,1620070
1710814975467,1620307
1710814975507,1618245
1710814975547,1614608
1710814975588,1610895
1710814975628,1607093
1710814975668,1608814
1710814975708,1616565
1710814975748,1625858
1710814975789,1632244
1710814975830,1630821
1710814975869,1629375
1710814975909,1630571
1710814975950,1631765
1710814975990,1632455
1710814976031,1632307
1710814976071,1632185
1710814976111,1632289
1710814976151,1632603
1710814976191,1631125
1710814976232,1629794
1710814976273,1629138
1710814976314,1630138
1710814976354,1631455
1710814976397,1631522
1710814976435,1631411
1710814976474,1631244
1710814976515,1631089
1710814976555,1630929
1710814976595,1630601
1710814976636,1630907
1710814976676,1630992
1710814976716,1631314
1710814976756,1631588
1710814976796,1631322
1710814976837,1629498
1710814976877,1627320
1710814976917,1625012
1710814976957,1625074
1710814976997,1629718
1710814977039,1636196
1710814977079,1638979
1710814977119,1638492
1710814977159,1637535
1710814977199,1637857
1710814977240,1639217
1710814977280,1640284
1710814977320,1641686
1710814977360,1642808
1710814977400,1643699
1710814977441,1644393
1710814977481,1643074
1710814977521,1640682
1710814977561,1639029
1710814977601,1641004
1710814977642,1642272
1710814977682,1642007
1710814977722,1641677
1710814977762,1640756
1710814977802,1640846
1710814977843,1640798
1710814977883,1640483
1710814977923,1639968
1710814977963,1639673
1710814978004,1639872
1710814978045,1639739
1710814978087,1639526
1710814978128,1638518
1710814978168,1636299
1710814978208,1632178
1710814978250,1632101
1710814978289,1635789
1710814978330,1641870
1710814978370,1641944
1710814978410,1638743
1710814978451,1638073
1710814978491,1638619
1710814978531,1639467
1710814978571,1639756
1710814978614,1639842
1710814978652,1640004
1710814978692,1640262
1710814978734,1641245
1710814978774,1641721
1710814978814,1640939
1710814978855,1640537
1710814978895,1638412
1710814978935,1636156
1710814978975,1634057
1710814979015,1632518
1710814979056,1631377
1710814979095,1630373
1710814979136,1629466
1710814979176,1628774
1710814979217,1628696
1710814979258,1629420
1710814979297,1629618
1710814979337,1629251
1710814979377,1628577
1710814979417,1625475
1710814979458,1621469
1710814979497,1623114
1710814979538,1628319
1710814979578,1632663
1710814979618,1632751
1710814979659,1630338
1710814979698,1628778
1710814979738,1629773
1710814979778,1630573
1710814979819,1631065
1710814979859,1631403
1710814979899,1630729
1710814979939,1630120
1710814979980,1629885
1710814980021,1629475
1710814980062,1629707
1710814980101,1629095
1710814980142,1627411
1710814980182,1624284
1710814980222,1621747
1710814980263,1619458
1710814980303,1618732
1710814980343,1618976
1710814980383,1618878
1710814980423,1618825
1710814980464,1619975
1710814980504,1621173
1710814980544,1621297
1710814980584,1620121
1710814980625,1619221
1710814980666,1618091
1710814980705,1615159
1710814980746,1612358
1710814980787,1612796
1710814980827,1614811
1710814980868,1615069
1710814980907,1614162
1710814980947,1615001
1710814980988,1617338
1710814981028,1619055
1710814981069,1619808
1710814981108,1619837
1710814981148,1620162
1710814981188,1621192
1710814981228,1622271
1710814981270,1623304
1710814981309,1624786
1710814981349,1627782
1710814981390,1630166
1710814981430,1628365
1710814981471,1624940
1710814981510,1621497
1710814981550,1619139
1710814981591,1618398
1710814981631,1618317
1710814981672,1618598
1710814981711,1618800
1710814981752,1618997
1710814981792,1618770
1710814981832,1618095
1710814981873,1616967
1710814981913,1616522
1710814981953,1616757
1710814981993,1617755
1710814982033,1621463
1710814982074,1627717
1710814982114,1633585
1710814982154,1634926
1710814982194,1631717
1710814982234,1630403
1710814982275,1631084
1710814982314,1632473
1710814982355,1633411
1710814982395,1634019
1710814982435,1634425
1710814982476,1635015
1710814982515,1635699
1710814982555,1636487
1710814982596,1638764
1710814982636,1641563
1710814982677,1643440
1710814982716,1642516
1710814982756,1639763
1710814982796,1636658
1710814982837,1634025
1710814982878,1632498
1710814982917,1631868
1710814982957,1631429
1710814982997,1631200
1710814983038,1630918
1710814983079,1630483
1710814983118,1630261
1710814983158,1629659
1710814983198,1629203
1710814983239,1629581
1710814983280,1628310
1710814983319,1627842
1710814983359,1631532
1710814983400,1638067
1710814983440,1640986
1710814983481,1638616
1710814983520,1636372
1710814983561,1636562
1710814983601,1637499
1710814983641,1637640
1710814983682,1637103
1710814983723,1636809
1710814983763,1636996
1710814983803,1637469
1710814983843,1637235
1710814983884,1637310
1710814983924,1637617
1710814983964,1637254
1710814984004,1636502
1710814984045,1633196
1710814984086,1629818
1710814984125,1626969
1710814984166,1625290
1710814984206,1624681
1710814984246,1624379
1710814984287,1623795
1710814984326,1623786
1710814984367,1624164
1710814984407,1624049
1710814984447,1623289
1710814984488,1622182
1710814984528,1621573
1710814984568,1619199
1710814984608,1615681
1710814984648,1616208
1710814984689,1619718
1710814984729,1623090
1710814984769,1623734
1710814984809,1620804
1710814984850,1619809
1710814984891,1620670
1710814984930,1620702
1710814984970,1620547
1710814985011,1621542
1710814985051,1622285
1710814985092,1622662
1710814985132,1622775
1710814985172,1623711
1710814985212,1625122
1710814985252,1625572
1710814985293,1623070
1710814985332,1619810
1710814985372,1617142
1710814985413,1615608
1710814985453,1615707
1710814985494,1616208
1710814985533,1616682
1710814985573,1616654
1710814985613,1616059
1710814985654,1615420
1710814985694,1614416
1710814985734,1613250
1710814985774,1613205
1710814985815,1614170
1710814985855,1614230
1710814985896,1615566
1710814985935,1618534
1710814985975,1622075
1710814986015,1622104
1710814986056,1619576
1710814986097,1619271
1710814986136,1620429
1710814986176,1621388
1710814986217,1621555
1710814986257,1621889
1710814986298,1623157
1710814986337,1624830
1710814986378,1626488
1710814986418,1627446
1710814986458,1628747
1710814986499,1631503
1710814986539,1633499
1710814986579,1631545
1710814986619,1628688
1710814986659,1626326
1710814986700,1624561
1710814986740,1624093
1710814986780,1624262
1710814986820,1624729
1710814986861,1625120
1710814986902,1625579
1710814986941,1625749
1710814986981,1625485
1710814987022,1624602
1710814987062,1624270
1710814987103,1624214
1710814987142,1624986
1710814987183,1627797
1710814987223,1628057
1710814987263,1623742
1710814987304,1619558
1710814987344,1617287
1710814987384,1618191
1710814987424,1620269
1710814987464,1621715
1710814987506,1622336
1710814987545,1623116
1710814987585,1624831
1710814987626,1627022
1710814987666,1629775
1710814987707,1631962
1710814987746,1634836
1710814987787,1638600
1710814987827,1640932
1710814987867,1640304
1710814987908,1638053
1710814987948,1634302
1710814987988,1631673
1710814988028,1630099
1710814988068,1629493
1710814988109,1629083
1710814988149,1629140
1710814988189,1629307
1710814988229,1629138
1710814988270,1628648
1710814988310,1627285
1710814988350,1626647
1710814988390,1626374
1710814988430,1628214
1710814988470,1634254
1710814988513,1642087
1710814988553,1645835
1710814988593,1644408
1710814988633,1642751
1710814988673,1642133
1710814988714,1642356
1710814988754,1643019
1710814988794,1643945
1710814988834,1645227
1710814988874,1646459
1710814988915,1646992
1710814988954,1646684
1710814988995,1647055
1710814989035,1647966
1710814989075,1648957
1710814989116,1648688
1710814989156,1648724
1710814989196,1647900
1710814989236,1645292
1710814989277,1641515
1710814989318,1638237
1710814989357,1635706
1710814989397,1634168
1710814989438,1633976
1710814989478,1634482
1710814989519,1634573
1710814989561,1633404
1710814989601,1632185
1710814989641,1630684
1710814989681,1631261
1710814989723,1638728
1710814989762,1649978
1710814989802,1656572
1710814989843,1653130
1710814989883,1652770
1710814989924,1652965
1710814989963,1651672
1710814990004,1649182
1710814990044,1646407
1710814990084,1644474
1710814990125,1643917
1710814990165,1644523
1710814990206,1645287
1710814990246,1646211
1710814990286,1647388
1710814990327,1647730
1710814990366,1647641
1710814990407,1646711
1710814990447,1645892
1710814990487,1646080
1710814990528,1647002
1710814990568,1646086
1710814990608,1642563
1710814990648,1638236
1710814990688,1634409
1710814990729,1631443
1710814990768,1629226
1710814990808,1627965
1710814990849,1627896
1710814990889,1627816
1710814990930,1627934
1710814990969,1631285
1710814991009,1637162
1710814991050,1643161
1710814991090,1643484
1710814991130,1641914
1710814991170,1641008
1710814991210,1641680
1710814991250,1642550
1710814991289,1641137
1710814991330,1637712
1710814991370,1634243
1710814991410,1631530
1710814991450,1629762
1710814991490,1628459
1710814991531,1628733
1710814991570,1630129
1710814991610,1631943
1710814991651,1631893
1710814991690,1630744
1710814991731,1629322
1710814991771,1628158
1710814991813,1627360
1710814991853,1626636
1710814991894,1626054
1710814991935,1626026
1710814991974,1626026
1710814992014,1624009
1710814992055,1620606
1710814992095,1616513
1710814992136,1612761
1710814992175,1609378
1710814992216,1606634
1710814992256,1608116
1710814992296,1613366
1710814992337,1619644
1710814992377,1622353
1710814992417,1622762
1710814992457,1621703
1710814992498,1622116
1710814992538,1623228
1710814992578,1623640
1710814992618,1623910
1710814992658,1624364
1710814992699,1625072
1710814992740,1624021
1710814992780,1621851
1710814992820,1619698
1710814992860,1618045
1710814992900,1617076
1710814992941,1615352
1710814992981,1614296
1710814993021,1613332
1710814993061,1612724
1710814993102,1612412
1710814993143,1611998
1710814993182,1611513
1710814993222,1610997
1710814993263,1610940
1710814993303,1610575
1710814993344,1609390
1710814993383,1606180
1710814993424,1602465
1710814993464,1598806
1710814993504,1597207
1710814993545,1599367
1710814993585,1602322
1710814993625,1602873
1710814993665,1601022
1710814993705,1601548
1710814993746,1603023
1710814993786,1603668
1710814993826,1603172
1710814993866,1602256
1710814993906,1601973
1710814993947,1602326
1710814993986,1603193
1710814994027,1604553
1710814994067,1605528
1710814994107,1605046
1710814994148,1605159
1710814994187,1603601
1710814994227,1601424
1710814994268,1599763
1710814994308,1598655
1710814994349,1598830
1710814994388,1599092
1710814994428,1598767
1710814994468,1598327
1710814994509,1597949
1710814994550,1597530
1710814994589,1596998
1710814994629,1595884
1710814994670,1595077
1710814994710,1595502
1710814994751,1595058
1710814994790,1595851
1710814994830,1600570
1710814994870,1608007
1710814994911,1609102
1710814994952,1604303
1710814994991,1602493
1710814995031,1602828
1710814995071,1603932
1710814995112,1604435
1710814995153,1604232
1710814995192,1605131
1710814995233,1606770
1710814995273,1609434
1710814995313,1613156
1710814995354,1616865
1710814995394,1619905
1710814995434,1621879
1710814995474,1620266
1710814995515,1617153
1710814995555,1613702
1710814995595,1610844
1710814995635,1609132
1710814995675,1608419
1710814995716,1608279
1710814995757,1608315
1710814995796,1608497
1710814995836,1608475
1710814995877,1608365
1710814995917,1607368
1710814995958,1606389
1710814995998,1606096
1710814996038,1607215
1710814996078,1613021
1710814996118,1623327
1710814996159,1632705
1710814996199,1635177
1710814996243,1631325
1710814996284,1630908
1710814996324,1632081
1710814996365,1633604
1710814996404,1635585
1710814996444,1638085
1710814996484,1640908
1710814996524,1642675
1710814996565,1642857
1710814996605,1642996
1710814996645,1643638
1710814996685,1644557
1710814996725,1643006
1710814996766,1640785
1710814996805,1637837
1710814996846,1635375
1710814996886,1633948
1710814996926,1633078
1710814996967,1632770
1710814997006,1632808
1710814997047,1632887
1710814997087,1632887
1710814997127,1631998
1710814997168,1631042
1710814997207,1630881
1710814997248,1630988
1710814997288,1634683
1710814997328,1642716
1710814997369,1647566
1710814997408,1639435
1710814997449,1635048
1710814997489,1634568
1710814997529,1634694
1710814997570,1634991
1710814997609,1634624
1710814997650,1634768
1710814997690,1635305
1710814997730,1636052
1710814997771,1636668
1710814997811,1638213
1710814997851,1639959
1710814997891,1640850
1710814997931,1640478
1710814997972,1640406
1710814998012,1637655
1710814998052,1633802
1710814998092,1630597
1710814998133,1628621
1710814998174,1627188
1710814998213,1626107
1710814998253,1625756
1710814998294,1625110
1710814998334,1623947
1710814998375,1622130
1710814998415,1621706
1710814998455,1622233
1710814998495,1624439
1710814998535,1631117
1710814998576,1639508
1710814998616,1642699
1710814998656,1639732
1710814998696,1637616
1710814998736,1636068
1710814998777,1635627
1710814998817,1635322
1710814998857,1634332
1710814998897,1634619
1710814998938,1635789
1710814998979,1637197
1710814999018,1638061
1710814999058,1638798
1710814999099,1640204
1710814999139,1641509
1710814999181,1642029
1710814999220,1641725
1710814999261,1641742
1710814999301,1641774
1710814999341,1641592
1710814999383,1640512
1710814999422,1639142
1710814999462,1638384
1710814999503,1638670
1710814999543,1639565
1710814999583,1639843
1710814999623,1639532
1710814999663,1638809
1710814999703,1638880
1710814999744,1639291
1710814999784,1641068
1710814999824,1643744
1710814999864,1647833
1710814999904,1651257
1710814999944,1653346
1710814999985,1656634
