time,ppg
1710812381433,2054330
1710812381473,2055903
1710812381513,2057880
1710812381554,2059845
1710812381593,2062019
1710812381633,2064096
1710812381673,2065896
1710812381713,2065226
1710812381754,2062070
1710812381794,2058946
1710812381834,2057297
1710812381874,2057041
1710812381914,2058156
1710812381955,2059854
1710812381994,2061086
1710812382034,2061500
1710812382075,2061641
1710812382115,2061955
1710812382155,2062677
1710812382195,2063822
1710812382235,2065258
1710812382275,2066879
1710812382315,2068618
1710812382356,2070327
1710812382396,2071173
1710812382436,2068330
1710812382476,2063729
1710812382516,2059838
1710812382557,2057672
1710812382596,2057188
1710812382636,2057910
1710812382676,2058798
1710812382717,2058838
1710812382757,2058219
1710812382797,2057493
1710812382837,2057256
1710812382877,2057607
1710812382917,2058444
1710812382958,2059598
1710812382997,2060918
1710812383037,2062320
1710812383078,2063501
1710812383118,2060610
1710812383158,2054926
1710812383198,2049408
1710812383238,2046012
1710812383278,2044156
1710812383318,2043845
1710812383359,2044233
1710812383399,2043996
1710812383439,2042912
1710812383479,2041444
1710812383519,2040555
1710812383560,2040622
1710812383599,2041210
1710812383639,2042109
1710812383680,2043287
1710812383720,2044563
1710812383761,2045895
1710812383800,2044422
1710812383840,2038078
1710812383880,2030947
1710812383920,2025627
1710812383961,2022782
1710812384000,2021156
1710812384041,2020927
1710812384080,2020546
1710812384121,2019351
1710812384161,2017728
1710812384201,2016340
1710812384241,2016016
1710812384281,2016352
1710812384321,2017252
1710812384362,2018591
1710812384401,2019889
1710812384441,2021372
1710812384481,2022847
1710812384522,2021942
1710812384562,2015418
1710812384602,2007765
1710812384642,2001922
1710812384682,1998486
1710812384722,1996772
1710812384763,1996162
1710812384802,1995601
1710812384842,1994642
1710812384882,1993021
1710812384922,1991895
1710812384963,1991602
1710812385003,1992187
1710812385043,1993315
1710812385083,1994855
1710812385123,1996537
1710812385163,1998231
1710812385203,2000178
1710812385243,2001967
1710812385283,2001544
1710812385323,1995936
1710812385364,1988964
1710812385403,1984078
1710812385443,1981345
1710812385484,1980222
1710812385524,1980225
1710812385565,1980331
1710812385604,1979698
1710812385644,1978726
1710812385684,1978303
1710812385724,1978549
1710812385765,1979524
1710812385804,1981154
1710812385845,1983087
1710812385885,1985178
1710812385925,1987262
1710812385966,1989447
1710812386005,1991661
1710812386045,1994103
1710812386085,1994075
1710812386125,1989256
1710812386166,1983633
1710812386205,1979973
1710812386245,1978568
1710812386286,1978434
1710812386326,1979330
1710812386366,1979876
1710812386406,1980008
1710812386446,1979662
1710812386486,1979923
1710812386526,1980889
1710812386567,1982480
1710812386606,1984518
1710812386646,1986676
1710812386687,1989038
1710812386727,1991554
1710812386768,1993940
1710812386807,1996484
1710812386847,1999020
1710812386887,2001105
1710812386927,1998894
1710812386968,1994393
1710812387008,1990897
1710812387048,1989608
1710812387088,1989852
1710812387128,1991407
1710812387169,1992967
1710812387208,1993798
1710812387248,1994258
1710812387288,1994516
1710812387328,1995543
1710812387369,1997264
1710812387409,1999353
1710812387449,2001738
1710812387489,2004080
1710812387529,2006819
1710812387570,2009472
1710812387609,2012033
1710812387649,2014669
1710812387689,2017352
1710812387729,2018012
1710812387770,2015112
1710812387810,2011680
1710812387850,2009742
1710812387890,2009853
1710812387930,2011243
1710812387971,2013228
1710812388010,2014923
1710812388050,2015858
1710812388090,2016347
1710812388131,2017218
1710812388171,2018563
1710812388211,2020376
1710812388251,2022487
1710812388291,2025031
1710812388331,2027434
1710812388372,2029926
1710812388411,2032319
1710812388451,2034765
1710812388492,2037275
1710812388532,2038432
1710812388572,2036429
1710812388612,2033515
1710812388652,2031834
1710812388693,2031980
1710812388733,2033323
1710812388774,2035469
1710812388813,2037415
1710812388854,2038616
1710812388894,2039271
1710812388934,2040140
1710812388975,2041374
1710812389014,2043038
1710812389054,2045017
1710812389094,2047181
1710812389134,2049625
1710812389175,2051792
1710812389215,2054170
1710812389255,2056507
1710812389295,2057452
1710812389335,2055390
1710812389376,2052752
1710812389416,2050861
1710812389456,2050768
1710812389496,2051901
1710812389536,2053835
1710812389577,2055542
1710812389616,2056605
1710812389656,2057170
1710812389697,2057497
1710812389736,2058448
1710812389777,2059863
1710812389817,2061422
1710812389857,2063470
1710812389897,2065318
1710812389937,2067324
1710812389978,2069360
1710812390018,2070239
1710812390058,2067739
1710812390098,2063966
1710812390138,2061453
1710812390179,2060486
1710812390218,2060875
1710812390258,2062002
1710812390299,2063427
1710812390339,2064032
1710812390380,2064132
1710812390419,2064100
1710812390459,2064597
1710812390499,2066743
1710812390539,2068376
1710812390580,2069953
1710812390619,2071702
1710812390660,2073450
1710812390700,2073078
1710812390740,2069239
1710812390781,2064553
1710812390820,2061467
1710812390860,2060126
1710812390900,2060138
1710812390940,2061025
1710812390981,2061617
1710812391020,2061683
1710812391060,2061177
1710812391101,2060827
1710812391141,2061090
1710812391181,2061789
1710812391221,2063079
1710812391261,2064501
1710812391301,2066123
1710812391341,2067735
1710812391382,2069096
1710812391421,2066835
1710812391461,2061390
1710812391501,2055995
1710812391541,2052883
