time,ecg
1710812349649,-36
1710812349657,51
1710812349665,34
1710812349673,7
1710812349681,51
1710812349689,58
1710812349696,46
1710812349704,68
1710812349712,68
1710812349719,46
1710812349727,51
1710812349735,66
1710812349743,76
1710812349750,85
1710812349758,95
1710812349766,103
1710812349773,110
1710812349781,125
1710812349789,139
1710812349796,152
1710812349804,154
1710812349812,161
1710812349819,176
1710812349827,179
1710812349835,169
1710812349841,159
1710812349849,149
1710812349857,130
1710812349865,100
1710812349873,71
1710812349881,34
1710812349888,7
1710812349896,-2
1710812349904,-17
1710812349911,-14
1710812349919,0
1710812349927,-4
1710812349934,-12
1710812349942,-2
1710812349950,9
1710812349957,2
1710812349965,2
1710812349973,22
1710812349980,34
1710812349988,22
1710812349996,17
1710812350003,34
1710812350011,51
1710812350019,51
1710812350027,51
1710812350033,53
1710812350041,51
1710812350049,44
1710812350057,41
1710812350065,39
1710812350073,29
1710812350080,24
1710812350088,29
1710812350096,31
1710812350103,24
1710812350111,24
1710812350119,31
1710812350126,26
1710812350134,22
1710812350142,24
1710812350149,22
1710812350157,17
1710812350165,22
1710812350172,19
1710812350180,17
1710812350188,31
1710812350195,34
1710812350203,26
1710812350211,39
1710812350217,56
1710812350225,53
1710812350233,31
1710812350241,19
1710812350249,9
1710812350257,-14
1710812350264,-12
1710812350272,24
1710812350280,36
1710812350288,19
1710812350295,17
1710812350303,24
1710812350311,63
1710812350318,191
1710812350326,434
1710812350334,694
1710812350341,689
1710812350349,235
1710812350357,-296
1710812350364,-309
1710812350372,-39
1710812350380,-41
1710812350387,-88
1710812350395,17
1710812350403,31
1710812350409,-14
1710812350417,17
1710812350425,51
1710812350433,36
1710812350441,31
1710812350449,49
1710812350456,53
1710812350464,56
1710812350472,66
1710812350479,80
1710812350487,88
1710812350495,93
1710812350502,110
1710812350510,127
1710812350518,132
1710812350525,139
1710812350533,154
1710812350541,164
1710812350549,171
1710812350556,179
1710812350564,186
1710812350572,184
1710812350579,171
1710812350587,152
1710812350595,125
1710812350601,100
1710812350609,83
1710812350617,51
1710812350625,19
1710812350633,12
1710812350641,12
1710812350648,2
1710812350656,-4
1710812350664,-2
1710812350671,0
1710812350679,2
1710812350687,2
1710812350694,7
1710812350702,17
1710812350710,24
1710812350717,14
1710812350725,7
1710812350733,17
1710812350740,34
1710812350748,36
1710812350756,36
1710812350763,44
1710812350771,34
1710812350779,17
1710812350785,29
1710812350793,39
1710812350801,29
1710812350809,26
1710812350817,36
1710812350825,36
1710812350833,34
1710812350840,36
1710812350848,34
1710812350856,29
1710812350863,26
1710812350871,24
1710812350879,24
1710812350886,29
1710812350894,26
1710812350902,24
1710812350909,34
1710812350917,41
1710812350925,39
1710812350932,39
1710812350940,39
1710812350948,34
1710812350955,34
1710812350963,51
1710812350971,66
1710812350977,78
1710812350985,80
1710812350993,61
1710812351001,34
1710812351009,31
1710812351017,46
1710812351024,53
1710812351032,49
1710812351040,49
1710812351047,51
1710812351055,61
1710812351063,100
1710812351070,225
1710812351078,483
1710812351086,745
1710812351094,704
1710812351101,211
1710812351109,-321
1710812351117,-318
1710812351124,-56
1710812351132,-39
1710812351140,-61
1710812351147,22
1710812351155,34
1710812351163,9
1710812351169,31
1710812351177,44
1710812351185,44
1710812351193,53
1710812351201,61
1710812351209,68
1710812351216,76
1710812351224,68
1710812351232,68
1710812351239,85
1710812351247,100
1710812351255,105
1710812351262,120
1710812351270,137
1710812351278,152
1710812351285,161
1710812351293,171
1710812351301,184
1710812351308,186
1710812351316,181
1710812351324,179
1710812351331,176
1710812351339,152
1710812351347,120
1710812351353,93
1710812351361,63
1710812351369,26
1710812351377,2
1710812351385,-9
1710812351393,-22
1710812351401,-36
1710812351408,-39
1710812351416,-29
1710812351424,-24
1710812351431,-31
1710812351439,-34
1710812351447,-24
1710812351454,-17
1710812351462,-12
1710812351470,-2
1710812351477,4
1710812351485,9
1710812351493,7
1710812351500,9
1710812351508,22
1710812351516,29
1710812351523,29
1710812351531,36
1710812351539,41
1710812351545,36
1710812351553,41
1710812351561,49
1710812351569,53
1710812351577,53
1710812351585,49
1710812351592,41
1710812351600,41
1710812351608,39
1710812351615,36
1710812351623,36
1710812351631,34
1710812351639,31
1710812351646,34
1710812351654,31
1710812351662,34
1710812351669,34
1710812351677,29
1710812351685,26
1710812351692,34
1710812351700,39
1710812351708,44
1710812351715,46
1710812351723,41
1710812351731,29
1710812351737,26
1710812351745,39
1710812351753,49
1710812351761,56
1710812351769,71
1710812351777,88
1710812351784,90
1710812351792,73
1710812351800,51
1710812351807,46
1710812351815,53
1710812351823,58
1710812351830,61
1710812351838,66
1710812351846,63
1710812351853,63
1710812351861,98
1710812351869,215
1710812351876,466
1710812351884,733
1710812351892,731
1710812351899,272
1710812351907,-299
1710812351915,-370
1710812351923,-88
1710812351929,-7
1710812351937,-24
1710812351945,36
1710812351953,51
1710812351961,34
1710812351969,56
1710812351976,71
1710812351984,71
1710812351992,80
1710812351999,90
1710812352007,90
1710812352015,98
1710812352022,105
1710812352030,105
1710812352038,103
1710812352045,115
1710812352053,130
1710812352061,137
1710812352068,147
1710812352076,161
1710812352084,179
1710812352091,188
1710812352099,198
1710812352107,203
1710812352113,208
1710812352121,206
1710812352129,201
1710812352137,191
1710812352145,171
1710812352153,147
1710812352160,122
1710812352168,93
1710812352176,68
1710812352184,49
1710812352191,31
1710812352199,19
1710812352207,17
1710812352214,14
1710812352222,9
1710812352230,7
1710812352237,0
1710812352245,0
1710812352253,14
1710812352260,24
1710812352268,26
1710812352276,31
1710812352283,41
1710812352291,49
1710812352299,51
1710812352305,58
1710812352313,66
1710812352321,66
1710812352329,71
1710812352337,73
1710812352345,73
1710812352352,71
1710812352360,71
1710812352368,68
1710812352375,63
1710812352383,61
1710812352391,53
1710812352398,49
1710812352406,51
1710812352414,51
1710812352421,44
1710812352429,44
1710812352437,49
1710812352444,53
1710812352452,56
1710812352460,56
1710812352468,58
1710812352475,61
1710812352483,63
1710812352491,66
1710812352497,71
1710812352505,76
1710812352513,73
1710812352521,76
1710812352529,80
1710812352537,80
1710812352544,80
1710812352552,85
1710812352560,85
1710812352567,78
1710812352575,66
1710812352583,63
1710812352590,73
1710812352598,80
1710812352606,85
1710812352613,105
1710812352621,122
1710812352629,112
1710812352636,88
1710812352644,76
1710812352652,80
1710812352659,85
1710812352667,88
1710812352675,93
1710812352681,95
1710812352689,93
1710812352697,103
1710812352705,164
1710812352713,338
1710812352721,635
1710812352729,844
1710812352736,640
1710812352744,24
1710812352752,-404
1710812352759,-235
1710812352767,9
1710812352775,0
1710812352782,12
1710812352790,66
1710812352798,56
1710812352805,53
1710812352813,80
1710812352821,88
1710812352828,85
1710812352836,95
1710812352844,98
1710812352851,103
1710812352859,115
1710812352867,120
1710812352873,120
1710812352881,127
1710812352889,142
1710812352897,149
1710812352905,159
1710812352913,169
1710812352920,179
1710812352928,186
1710812352936,193
1710812352943,201
1710812352951,206
1710812352959,208
1710812352967,201
1710812352974,196
1710812352982,184
1710812352990,159
1710812352997,127
1710812353005,100
1710812353013,76
1710812353020,49
1710812353028,36
1710812353036,31
1710812353043,24
1710812353051,19
1710812353059,22
1710812353065,24
1710812353073,31
1710812353081,34
1710812353089,34
1710812353097,39
1710812353105,44
1710812353112,36
1710812353120,31
1710812353128,39
1710812353135,44
1710812353143,41
1710812353151,44
1710812353158,51
1710812353166,53
1710812353174,53
1710812353181,58
1710812353189,63
1710812353197,63
1710812353204,63
1710812353212,66
1710812353220,66
1710812353227,68
1710812353235,71
1710812353243,68
1710812353251,61
1710812353257,53
1710812353265,56
1710812353273,61
1710812353281,61
1710812353289,58
1710812353297,56
1710812353304,58
1710812353312,66
1710812353320,68
1710812353327,68
1710812353335,63
1710812353343,63
1710812353350,71
1710812353358,73
1710812353366,73
1710812353373,78
1710812353381,80
1710812353389,78
1710812353396,80
1710812353404,88
1710812353412,88
1710812353419,90
1710812353427,90
1710812353435,83
1710812353441,78
1710812353449,83
1710812353457,95
1710812353465,103
1710812353473,107
1710812353481,117
1710812353488,122
1710812353496,100
1710812353504,76
1710812353512,78
1710812353519,90
1710812353527,88
1710812353535,78
1710812353542,80
1710812353550,88
1710812353558,98
1710812353565,159
1710812353573,338
1710812353581,625
1710812353588,799
1710812353596,559
1710812353604,-51
1710812353611,-417
1710812353619,-196
1710812353627,34
1710812353633,2
1710812353641,24
1710812353649,83
1710812353657,58
1710812353665,51
1710812353673,83
1710812353680,85
1710812353688,80
1710812353696,93
1710812353703,100
1710812353711,98
1710812353719,105
1710812353726,120
1710812353734,122
1710812353742,122
1710812353749,125
1710812353757,122
1710812353765,127
1710812353772,144
1710812353780,154
1710812353788,169
1710812353796,186
1710812353803,193
1710812353811,198
1710812353819,201
1710812353825,188
1710812353833,171
1710812353841,159
1710812353849,142
1710812353857,110
1710812353865,80
1710812353872,56
1710812353880,34
1710812353888,17
1710812353895,7
1710812353903,4
1710812353911,7
1710812353918,9
1710812353926,9
1710812353934,14
1710812353941,24
1710812353949,29
1710812353957,31
1710812353964,39
1710812353972,44
1710812353980,51
1710812353987,53
1710812353995,53
1710812354003,58
1710812354009,58
1710812354017,53
1710812354025,58
1710812354033,66
1710812354041,63
1710812354049,68
1710812354057,73
1710812354064,73
1710812354072,68
1710812354080,68
1710812354087,71
1710812354095,71
1710812354103,71
1710812354110,73
1710812354118,76
1710812354126,71
1710812354133,66
1710812354141,66
1710812354149,71
1710812354156,73
1710812354164,71
1710812354172,71
1710812354179,73
1710812354187,71
1710812354195,68
1710812354201,73
1710812354209,73
1710812354217,73
1710812354225,76
1710812354233,80
1710812354241,83
1710812354248,85
1710812354256,80
1710812354264,71
1710812354271,76
1710812354279,83
1710812354287,80
1710812354294,78
1710812354302,78
1710812354310,76
1710812354318,83
1710812354325,98
1710812354333,112
1710812354341,125
1710812354348,125
1710812354356,98
1710812354364,73
1710812354371,73
1710812354379,78
1710812354387,80
1710812354393,85
1710812354401,83
1710812354409,80
1710812354417,103
1710812354425,176
1710812354433,365
1710812354440,655
1710812354448,787
1710812354456,463
1710812354463,-174
1710812354471,-434
1710812354479,-134
1710812354486,51
1710812354494,0
1710812354502,44
1710812354509,100
1710812354517,73
1710812354525,76
1710812354532,100
1710812354540,98
1710812354548,93
1710812354555,98
1710812354563,103
1710812354571,105
1710812354577,112
1710812354585,115
1710812354593,120
1710812354601,130
1710812354609,134
1710812354617,139
1710812354625,147
1710812354632,154
1710812354640,164
1710812354648,179
1710812354655,191
1710812354663,201
1710812354671,203
1710812354678,203
1710812354686,201
1710812354694,188
1710812354701,161
1710812354709,137
1710812354717,117
1710812354724,90
1710812354732,61
1710812354740,39
1710812354747,34
1710812354755,29
1710812354763,12
1710812354769,0
1710812354777,4
1710812354785,14
1710812354793,14
1710812354801,22
1710812354809,31
1710812354816,29
1710812354824,34
1710812354832,44
1710812354839,53
1710812354847,61
1710812354855,61
1710812354863,58
1710812354870,68
1710812354878,76
1710812354886,73
1710812354893,73
1710812354901,78
1710812354909,76
1710812354916,68
1710812354924,73
1710812354932,78
1710812354939,68
1710812354947,66
1710812354955,78
1710812354961,85
1710812354969,80
1710812354977,76
1710812354985,85
1710812354993,85
1710812355001,80
1710812355008,83
1710812355016,90
1710812355024,93
1710812355031,93
1710812355039,90
1710812355047,90
1710812355054,90
1710812355062,88
1710812355070,88
1710812355077,93
1710812355085,90
1710812355093,83
1710812355100,83
1710812355108,90
1710812355116,93
1710812355123,93
1710812355131,95
1710812355139,95
1710812355147,90
1710812355153,88
1710812355161,90
1710812355169,103
1710812355177,115
1710812355185,122
1710812355193,134
1710812355200,139
1710812355208,117
1710812355216,93
1710812355223,90
1710812355231,95
1710812355239,88
1710812355246,85
1710812355254,85
1710812355262,85
1710812355269,88
1710812355277,142
1710812355285,331
1710812355292,625
1710812355300,770
1710812355308,473
1710812355315,-157
